Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
308	0.	5.	80.	-1.5003e-002
309	0.	5.	75.	1.6234e-003
310	0.	5.	70.	-1.0377e-003
311	0.	5.	65.	-5.8053e-005
312	0.	5.	60.	-3.6662e-005
313	0.	5.	55.	-7.0681e-006
314	0.	5.	50.	3.2218e-006
315	0.	5.	45.	5.538e-007
316	0.	5.	40.	2.8542e-006
317	0.	5.	35.	-5.181e-006
318	0.	5.	30.	-1.1632e-005
319	0.	5.	25.	-1.1465e-004
320	0.	5.	20.	-1.2852e-004
321	0.	5.	15.	-5.962e-004
322	0.	5.	10.	2.3178e-003
323	0.	5.	5.	-2.7e-003
324	0.	10.	95.	0.42735
325	0.	10.	90.	-1.0334e-002
326	0.	10.	85.	1.7399e-002
327	0.	10.	80.	-5.392e-003
328	0.	10.	75.	8.6073e-004
329	0.	10.	70.	-4.775e-004
330	0.	10.	65.	1.4854e-005
331	0.	10.	60.	-2.5917e-005
332	0.	10.	55.	3.5953e-007
333	0.	10.	50.	-5.0564e-008
334	0.	10.	45.	1.1134e-006
335	0.	10.	40.	-9.7734e-007
336	0.	10.	35.	8.4728e-007
337	0.	10.	30.	-3.3914e-005
338	0.	10.	25.	-3.0622e-005
339	0.	10.	20.	-3.0495e-004
340	0.	10.	15.	3.1082e-004
341	0.	10.	10.	4.2365e-004
342	0.	10.	5.	-4.2606e-003
343	0.	15.	95.	-0.42735
344	0.	15.	90.	1.0334e-002
345	0.	15.	85.	-1.7399e-002
346	0.	15.	80.	5.3919e-003
347	0.	15.	75.	-8.608e-004
348	0.	15.	70.	4.7757e-004
349	0.	15.	65.	-1.4849e-005
350	0.	15.	60.	2.6002e-005
351	0.	15.	55.	-5.0506e-007
352	0.	15.	50.	-6.8671e-008
353	0.	15.	45.	-1.0527e-006
354	0.	15.	40.	8.8192e-007
355	0.	15.	35.	-7.6587e-007
356	0.	15.	30.	3.3813e-005
357	0.	15.	25.	3.0704e-005
358	0.	15.	20.	3.0508e-004
359	0.	15.	15.	-3.1099e-004
360	0.	15.	10.	-4.2365e-004
361	0.	15.	5.	4.2606e-003
362	0.	20.	95.	-1.2002
363	0.	20.	90.	9.1813e-002
364	0.	20.	85.	-5.3619e-002
365	0.	20.	80.	1.5003e-002
366	0.	20.	75.	-1.6235e-003
367	0.	20.	70.	1.0378e-003
368	0.	20.	65.	5.8014e-005
369	0.	20.	60.	3.6451e-005
370	0.	20.	55.	7.3915e-006
371	0.	20.	50.	-3.3035e-006
372	0.	20.	45.	-5.6483e-007
373	0.	20.	40.	-2.8792e-006
374	0.	20.	35.	5.0808e-006
375	0.	20.	30.	1.1724e-005
376	0.	20.	25.	1.1454e-004
377	0.	20.	20.	1.2853e-004
378	0.	20.	15.	5.9624e-004
379	0.	20.	10.	-2.3178e-003
380	0.	20.	5.	2.7e-003
381	0.	5.	0.	-1.0933e-002
382	0.	10.	0.	1.8184e-002
383	0.	15.	0.	-1.8184e-002
384	0.	20.	0.	1.0933e-002
385	0.	5.	100.	-5.3561
386	0.	10.	100.	-1.9279
387	0.	15.	100.	1.9279
388	0.	20.	100.	5.3561
389	0.	25.	0.	7.9911e-003
390	0.	25.	5.	-3.8576e-003
391	0.	25.	10.	2.2414e-002
392	0.	25.	15.	-4.0473e-003
393	0.	25.	20.	1.4226e-003
394	0.	25.	25.	-2.5483e-004
395	0.	25.	30.	1.1103e-004
396	0.	25.	35.	-1.4724e-005
397	0.	25.	40.	5.2122e-006
398	0.	25.	45.	-2.2496e-006
399	0.	25.	50.	-1.3247e-006
